ID,Noms
AntonioCarracci,"Antoine Carache,Antoine,ANTOINE"
AntonioDaFaenza,Antonio da Faenza
AntonioDaSangalloIlGiovane,"Antoine Sangalo,Antoine Sangal,le Sangal,du Sangal,Antoine"
AntonioDaSangalloIlVecchio,"Antoine de Sangallo,Antoine"
AntonioDaTrento,"Antoine de
                     Trente"
AntonioLabacco,"Antoine l'Abacco,Antoine Abbaco"
AntonioMariaCiocchiDelMonte,Anthoine Cardinal del Monte
AntonioMariaPanico,le Panico
AntonioMariaSpelta,Antoni Mariæ Speltæ
AntonioMariaVaprio,Antonio Maria Vaprio
AntonioMini,"Antonio
               Mini,Antonio Mini,Minio"
AntonioNeri,Antonius Neri
AntonioPollaiuolo,Antoine
AntonioSegni,"Antonio
               Segni,Antonio Segni"
AntonioTempesta,"Antoine Tempeste,le Tempeste,Tempeste"
AntonioVeneziano,ANTONIO VENETIANO
AntonioVerrio,Antonius Verrius
AntonioVivarini,Le Vivarini
Anubis,Annube
Apama,sa femme
Apaturius,Apaturio
Apelle,"d'Appelle,qu'Apelle,Apellés,d'Apelle,Appelles,Appellés,Apellés,Apelles,Appelle,Apelle,Apelli,APELLE,Apele"
Apis,Apis
ApollineDAlexandrie,Sant'Apollonia
Apollodore,"Ce savant Architecte,Apollodore Athenien,Apollodoro Ateniese,Apollodore,Apollodoro,Apolodore"
Apollon,"Apollo Pythien,Apolline,Apollone,Appollo,Apollon,Apollo,Phæbus,Apolon,Febo"
ApolloniosDeTyane,Apollone de Tyane
Apollonius,"Appollonius,Apollonius"
Appien,"Appian Alexandrin,Appian,Appien"
AppiusClaudiusCaecus,"Claudius,Appius"
Apulee,Apuleio
Aquilon,Aquilon
Arachne,Aragne
Arcadius,Arcadius
Arcesilas,Arcesilaus
ArchelaosI,"Archelaüs Roi de Macedoine,Archelaus"
Archifrone,Archifrone
Archimede,"Archimede,Archimedi"
Archite,Archite
ArdicesDeCorinthe,"Ardice
                     Corinthio,Ardice de Corinthe,Ardices de Corinte,Ardice Corinthien,Ardice Corinthio,Ardice"
Arellius,Arellius
Argellius,Argellius
Ariane,Ariane
Aristee,Aristée
Aristide,"Aristide Tebano,d'Aristide,Aristide"
AristobuleDeCassandreia,Aristobole
Aristodeme,"Aristodeme de,Aristodeme"
Aristophane,Aristophane
Aristote,"il Filosofo,Aristorele,d'Aristote,Aristotile,Aristotele,Filosofo,Aristote"
ArmandDeBourbonConti,Monsieur
ArmandJeanDuPlessisDeRichelieu,"Cardinal Duc de Richelieu,Cardinal de Richelieu,M. le Cardinal"
