xml_id	personne_qid	type	lieu_qid
FrancescoMochi	Q1441151	naissance	Q52089
FrancescoMochi	Q1441151	décès	Q220
GirolamoMazzolaBedoli	Q1527051	naissance	Q2683
GirolamoMazzolaBedoli	Q1527051	décès	Q2683
GirolamoMazzolaBedoli	Q1527051	naissance	Q42336
GirolamoMazzolaBedoli	Q1527051	décès	Q2683
EleonoraMedici	Q1991420	naissance	Q2044
EleonoraMedici	Q1991420	décès	Q42321
SaintSatyr	Q2245450	naissance	Q3138
SaintSatyr	Q2245450	décès	Q490
NicholasMignard	Q2555178	naissance	Q5489
NicholasMignard	Q2555178	décès	Q90
FrancescoMerano	Q3081022	naissance	Q1449
GiuseppeMeda	Q3108095	naissance	Q490
GiuseppeMeda	Q3108095	décès	Q490
PierreIIMignard	Q3385503	naissance	Q6397
PierreIIMignard	Q3385503	décès	Q6397
Melanthius	Q5655448	naissance	Q368628
AntonioMini	Q21710870	décès	Q142
AlessandroMenganti	Q64577318	naissance	Q1891
AlessandroMenganti	Q64577318	décès	Q1891
Moise	Q9077	naissance	Q771345
Moise	Q9077	décès	Q680161
NabuchodonosorII	Q12591	naissance	Q168518
NabuchodonosorII	Q12591	décès	Q5684
ThomasMore	Q42544	naissance	Q84
ThomasMore	Q42544	décès	Q499565
CosmeDeMedicis	Q48547	naissance	Q2044
CosmeDeMedicis	Q48547	décès	Q2044
CosmeDeMedicis	Q48547	naissance	Q2044
CosmeDeMedicis	Q48547	décès	Q2094778
GiovanniGirolamoMorone	Q82697	naissance	Q490
GiovanniGirolamoMorone	Q82697	décès	Q220
ClementVII	Q83159	naissance	Q2044
ClementVII	Q83159	décès	Q220
CatherineDeMedicis	Q131552	naissance	Q2044
