xml_id,wikidata_id,ulan_id
TheodorVanThulden,Q260817,500001504
DomenicoTibaldi,Q5290131,500005148
PellegrinoTibaldi,Q861385,500124327
JacopoTintoretto,Q9319,500011407
MariettaTintoretto,Q544173,500024580
Titien,Q47551,500031075
FrancescoTorbido,Q1054349,500004923
NiccoloTornioli,Q934228,500013710
JohannesTorrentius,Q2459649,500004977
PietroTorrigiano,Q948332,500017371
FrancoisTortebat,Q21638792,500111901
NicolasTournier,Q2631153,500004798
AntonioDaTrento,Q3620374,500020814
NiccoloTribolo,Q1360130,500021284
PaoloUccello,Q192488,500003110
GiovanniDaUdine,Q983350,500004700
PhilippUffenbach,Q319135,500031249
CarloUrbino,Q2939264,500017137
Stradanus,Q143595,500011304
PieterVanMol,Q1032847,500017956
KarelVanManderII,Q3374685,500024975
HubertVanEyck,Q364350,500013023
FrancescoVanni,Q960581,500012526
GijsbertVanVeen,Q21855565,500043166
PieterVanVeen,Q21289685,500069707
BenedettoVarchi,Q176833,500327460
JosephVarin,Q51282754,500043105
GiorgioVasari,Q128027,500017608
GiovanniDeVecchi,Q1529507,500000286
CesareVecellio,Q549400,500018010
FrancescoVecellio,Q1743903,500005079
OrazioVecellio,Q7099974,500006561
OttoVanVeen,Q785355,500005170
AntonioVeneziano,Q2261335,500028372
AgnoloDiVentura,Q374428,500046274
MarcelloVenusti,Q2716659,500004451
GiovanniMariaVerdizotti,Q4107591,500012500
JanCorneliszVermeyen,Q240396,500000614
LiberaleDaVerona,Q1374872,500006509
StefanoDaVerona,Q724508,500001660
ZenoneVeronese,Q18545599,500006405
PaoloVeronese,Q9440,500021218
AntonioVerrio,Q2305594,500015643
AndreaVerrocchio,Q183458,500003951
HendrickVerschuring,Q1605114,500026782
GiuseppeNiccoloVicentino,Q5565479,500327629
EneaVico,Q3725198,500011571
ClaudeVignon,Q591684,500008549
FrancescoVillamena,Q516452,500006755
LeonardoDaVinci,Q762,500010879
TimoteoViti,Q1709100,500008319
AlessandroVittoria,Q1347426,500025294
AlviseVivarini,Q1258585,500020645
AntonioVivarini,Q935534,500010947
BartolomeoVivarini,Q456971,500029396
PieterVlerick,Q19883243,500005905
LucasVorsterman,Q897552,500014123
MaertenDeVos,Q555022,500029816
SimonVouet,Q317920,500029258
AubinVouet,Q2870616,500029914
HansVredemanDeVries,Q944332,500006358
RemyVuibert,Q3456193,500020361
JoosVanWassenhove,Q515796,500031220
RogierVanDerWeyden,Q68631,500008384
MichaelWolgemut,Q262771,500031446
BernardoZenale,Q742607,500016586
AltichieroDaZevio,Q379567,500018314
MarcoZoppo,Q1369392,500022753
FedericoZuccaro,Q345605,500020194
TaddeoZuccaro,Q434058,500011296
GaetanoZumbo,Q547564,500014622
